variant,k,stratum,domain,n,accuracy
addk,1,heldout,all,100,1.0
addk,2,heldout,all,100,1.0
addk,3,heldout,all,100,1.0
addk,4,heldout,all,100,1.0
addk,5,heldout,all,100,1.0
addk,6,heldout,all,100,1.0
addk,7,heldout,all,100,1.0
addk,8,heldout,all,100,1.0
addk,9,heldout,all,100,1.0
addk,10,heldout,all,100,1.0
addk,11,heldout,all,100,1.0
addk,12,heldout,all,100,0.92
addk,13,heldout,all,100,0.6
addk,14,heldout,all,100,0.43
addk,15,heldout,all,100,0.51
addk,16,heldout,all,100,0.22
addk,17,heldout,all,100,0.39
addk,18,heldout,all,100,0.33
addk,19,heldout,all,100,0.27
addk,20,heldout,all,100,0.63
addk,21,heldout,all,100,0.37
addk,22,heldout,all,100,0.22
addk,23,heldout,all,100,0.3
