variant,k,stratum,domain,n,accuracy
hours,0,heldout,all,100,1.0
hours,1,heldout,all,100,0.93
hours,2,heldout,all,100,0.91
hours,3,heldout,all,100,0.78
hours,4,heldout,all,100,0.68
hours,5,heldout,all,100,0.68
hours,6,heldout,all,100,0.47
hours,7,heldout,all,100,0.49
hours,8,heldout,all,100,0.38
hours,9,heldout,all,100,0.31
hours,10,heldout,all,100,0.32
hours,11,heldout,all,100,0.29
hours,12,heldout,all,100,0.42
hours,13,heldout,all,100,0.24
hours,14,heldout,all,100,0.32
hours,15,heldout,all,100,0.35
hours,16,heldout,all,100,0.36
hours,17,heldout,all,100,0.32
hours,18,heldout,all,100,0.37
hours,19,heldout,all,100,0.67
hours,20,heldout,all,100,0.66
hours,21,heldout,all,100,0.85
hours,22,heldout,all,100,0.93
hours,23,heldout,all,100,0.94
