variant,k,stratum,domain,n,accuracy
mixed,0,heldout,all,100,1.0
mixed,0,heldout,months,100,1.0
mixed,1,heldout,all,100,0.99
mixed,1,heldout,months,100,0.99
mixed,2,heldout,all,100,0.99
mixed,2,heldout,months,100,0.99
mixed,3,heldout,all,100,0.87
mixed,3,heldout,months,100,0.87
mixed,4,heldout,all,100,0.53
mixed,4,heldout,months,100,0.53
mixed,5,heldout,all,100,0.37
mixed,5,heldout,months,100,0.37
mixed,6,heldout,all,100,0.84
mixed,6,heldout,months,100,0.84
mixed,7,heldout,all,100,0.25
mixed,7,heldout,months,100,0.25
mixed,8,heldout,all,100,0.27
mixed,8,heldout,months,100,0.27
mixed,9,heldout,all,100,0.34
mixed,9,heldout,months,100,0.34
mixed,10,heldout,all,100,0.33
mixed,10,heldout,months,100,0.33
mixed,11,heldout,all,100,0.55
mixed,11,heldout,months,100,0.55
