variant,k,stratum,domain,n,accuracy
letters,0,heldout,all,100,1.0
letters,1,heldout,all,100,0.97
letters,2,heldout,all,100,0.29
letters,3,heldout,all,100,0.19
letters,4,heldout,all,100,0.09
letters,5,heldout,all,100,0.07
letters,6,heldout,all,100,0.05
letters,7,heldout,all,100,0.1
letters,8,heldout,all,100,0.04
letters,9,heldout,all,100,0.03
letters,10,heldout,all,100,0.07
letters,11,heldout,all,100,0.07
letters,12,heldout,all,100,0.07
letters,13,heldout,all,100,0.41
letters,14,heldout,all,100,0.05
letters,15,heldout,all,100,0.09
letters,16,heldout,all,100,0.06
letters,17,heldout,all,100,0.1
letters,18,heldout,all,100,0.06
letters,19,heldout,all,100,0.06
letters,20,heldout,all,100,0.08
letters,21,heldout,all,100,0.09
letters,22,heldout,all,100,0.08
letters,23,heldout,all,100,0.05
letters,24,heldout,all,100,0.29
letters,25,heldout,all,100,0.67
