variant,k,stratum,domain,n,accuracy
days,0,copy,all,50,0.96
days,0,heldout,all,50,1.0
days,1,copy,all,50,0.84
days,1,heldout,all,50,0.72
days,2,copy,all,50,0.5
days,2,heldout,all,50,0.1
days,3,copy,all,50,0.46
days,3,heldout,all,50,0.08
days,4,copy,all,50,0.52
days,4,heldout,all,50,0.06
days,5,copy,all,50,0.34
days,5,heldout,all,50,0.14
days,6,copy,all,50,0.52
days,6,heldout,all,50,0.1
mixed,0,copy,all,50,1.0
mixed,0,copy,days,16,1.0
mixed,0,copy,digits,9,1.0
mixed,0,copy,letters,13,1.0
mixed,0,copy,months,12,1.0
mixed,0,heldout,all,50,1.0
mixed,0,heldout,days,11,1.0
mixed,0,heldout,digits,11,1.0
mixed,0,heldout,letters,12,1.0
mixed,0,heldout,months,16,1.0
mixed,1,copy,all,50,0.88
mixed,1,copy,days,8,0.875
mixed,1,copy,digits,14,0.9285714285714286
mixed,1,copy,letters,15,0.8
mixed,1,copy,months,13,0.9230769230769231
mixed,1,heldout,all,50,0.66
mixed,1,heldout,days,13,0.8461538461538461
mixed,1,heldout,digits,16,0.75
mixed,1,heldout,letters,10,0.1
mixed,1,heldout,months,11,0.8181818181818182
mixed,2,copy,all,50,0.48
mixed,2,copy,days,12,0.16666666666666666
mixed,2,copy,digits,13,0.6153846153846154
mixed,2,copy,letters,13,0.6153846153846154
mixed,2,copy,months,12,0.5
mixed,2,heldout,all,50,0.12
mixed,2,heldout,days,16,0.3125
mixed,2,heldout,digits,5,0.0
mixed,2,heldout,letters,15,0.06666666666666667
mixed,2,heldout,months,14,0.0
mixed,3,copy,all,50,0.66
mixed,3,copy,days,12,0.4166666666666667
mixed,3,copy,digits,15,0.6666666666666666
mixed,3,copy,letters,8,0.75
mixed,3,copy,months,15,0.8
mixed,3,heldout,all,50,0.02
mixed,3,heldout,days,12,0.0
mixed,3,heldout,digits,14,0.0
mixed,3,heldout,letters,14,0.0
mixed,3,heldout,months,10,0.1
mixed,4,copy,all,50,0.66
mixed,4,copy,days,9,0.7777777777777778
mixed,4,copy,digits,16,0.5
mixed,4,copy,letters,16,0.8125
mixed,4,copy,months,9,0.5555555555555556
mixed,4,heldout,all,50,0.08
mixed,4,heldout,days,17,0.11764705882352941
mixed,4,heldout,digits,17,0.058823529411764705
mixed,4,heldout,letters,7,0.14285714285714285
mixed,4,heldout,months,9,0.0
mixed,5,copy,all,50,0.62
mixed,5,copy,days,12,0.4166666666666667
mixed,5,copy,digits,7,0.14285714285714285
mixed,5,copy,letters,14,0.9285714285714286
mixed,5,copy,months,17,0.7058823529411765
mixed,5,heldout,all,50,0.1
mixed,5,heldout,days,13,0.23076923076923078
mixed,5,heldout,digits,16,0.125
mixed,5,heldout,letters,12,0.0
mixed,5,heldout,months,9,0.0
mixed,6,copy,all,50,0.42
mixed,6,copy,days,16,0.4375
mixed,6,copy,digits,11,0.2727272727272727
mixed,6,copy,letters,12,0.4166666666666667
mixed,6,copy,months,11,0.5454545454545454
mixed,6,heldout,all,50,0.04
mixed,6,heldout,days,13,0.15384615384615385
mixed,6,heldout,digits,15,0.0
mixed,6,heldout,letters,14,0.0
mixed,6,heldout,months,8,0.0
