variant,k,stratum,domain,n,accuracy
days,0,copy,all,50,1.0
days,0,heldout,all,50,1.0
days,1,copy,all,50,1.0
days,1,heldout,all,50,1.0
days,2,copy,all,50,1.0
days,2,heldout,all,50,0.72
days,3,copy,all,50,1.0
days,3,heldout,all,50,0.52
days,4,copy,all,50,1.0
days,4,heldout,all,50,0.32
days,5,copy,all,50,1.0
days,5,heldout,all,50,0.2
days,6,copy,all,50,1.0
days,6,heldout,all,50,0.7
mixed,0,copy,all,50,1.0
mixed,0,copy,days,16,1.0
mixed,0,copy,digits,9,1.0
mixed,0,copy,letters,13,1.0
mixed,0,copy,months,12,1.0
mixed,0,heldout,all,50,1.0
mixed,0,heldout,days,11,1.0
mixed,0,heldout,digits,11,1.0
mixed,0,heldout,letters,12,1.0
mixed,0,heldout,months,16,1.0
mixed,1,copy,all,50,0.98
mixed,1,copy,days,8,1.0
mixed,1,copy,digits,14,0.9285714285714286
mixed,1,copy,letters,15,1.0
mixed,1,copy,months,13,1.0
mixed,1,heldout,all,50,0.9
mixed,1,heldout,days,13,1.0
mixed,1,heldout,digits,16,0.8125
mixed,1,heldout,letters,10,0.9
mixed,1,heldout,months,11,0.9090909090909091
mixed,2,copy,all,50,0.96
mixed,2,copy,days,12,1.0
mixed,2,copy,digits,13,1.0
mixed,2,copy,letters,13,0.9230769230769231
mixed,2,copy,months,12,0.9166666666666666
mixed,2,heldout,all,50,0.58
mixed,2,heldout,days,16,0.75
mixed,2,heldout,digits,5,0.2
mixed,2,heldout,letters,15,0.3333333333333333
mixed,2,heldout,months,14,0.7857142857142857
mixed,3,copy,all,50,1.0
mixed,3,copy,days,12,1.0
mixed,3,copy,digits,15,1.0
mixed,3,copy,letters,8,1.0
mixed,3,copy,months,15,1.0
mixed,3,heldout,all,50,0.26
mixed,3,heldout,days,12,0.16666666666666666
mixed,3,heldout,digits,14,0.2857142857142857
mixed,3,heldout,letters,14,0.0
mixed,3,heldout,months,10,0.7
mixed,4,copy,all,50,0.9
mixed,4,copy,days,9,0.8888888888888888
mixed,4,copy,digits,16,0.875
mixed,4,copy,letters,16,1.0
mixed,4,copy,months,9,0.7777777777777778
mixed,4,heldout,all,50,0.4
mixed,4,heldout,days,17,0.5294117647058824
mixed,4,heldout,digits,17,0.29411764705882354
mixed,4,heldout,letters,7,0.14285714285714285
mixed,4,heldout,months,9,0.5555555555555556
mixed,5,copy,all,50,0.9
mixed,5,copy,days,12,0.9166666666666666
mixed,5,copy,digits,7,0.8571428571428571
mixed,5,copy,letters,14,0.9285714285714286
mixed,5,copy,months,17,0.8823529411764706
mixed,5,heldout,all,50,0.16
mixed,5,heldout,days,13,0.15384615384615385
mixed,5,heldout,digits,16,0.25
mixed,5,heldout,letters,12,0.08333333333333333
mixed,5,heldout,months,9,0.1111111111111111
mixed,6,copy,all,50,0.94
mixed,6,copy,days,16,0.875
mixed,6,copy,digits,11,1.0
mixed,6,copy,letters,12,0.9166666666666666
mixed,6,copy,months,11,1.0
mixed,6,heldout,all,50,0.24
mixed,6,heldout,days,13,0.38461538461538464
mixed,6,heldout,digits,15,0.13333333333333333
mixed,6,heldout,letters,14,0.07142857142857142
mixed,6,heldout,months,8,0.5
