variant,k,stratum,domain,n,accuracy
months,0,copy,all,50,1.0
months,0,heldout,all,50,1.0
months,1,copy,all,50,1.0
months,1,heldout,all,50,1.0
months,2,copy,all,50,1.0
months,2,heldout,all,50,1.0
months,3,copy,all,50,1.0
months,3,heldout,all,50,0.98
months,4,copy,all,50,0.98
months,4,heldout,all,50,0.62
months,5,copy,all,50,1.0
months,5,heldout,all,50,0.5
months,6,copy,all,50,1.0
months,6,heldout,all,50,0.9
months,7,copy,all,50,0.98
months,7,heldout,all,50,0.56
months,8,copy,all,50,1.0
months,8,heldout,all,50,0.34
months,9,copy,all,50,1.0
months,9,heldout,all,50,0.76
months,10,copy,all,50,1.0
months,10,heldout,all,50,0.88
months,11,copy,all,50,1.0
months,11,heldout,all,50,1.0
